source_text,reference_translation,new_translation,accuracy_score,fluency_score,adequacy_score,consistency_score,contextual_appropriateness_score,terminology_accuracy_score,readability_score,format_preservation_score,error_rate_score
"15+ years track record","15+ évnyi tapasztalat","15+ éves tapasztalat",3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0
"125,500 people already found a broker via this tool!","Már 125,500 ember talált brókert ezzel az eszközzel!","125,500 ember már talált brókert ezen az eszközön keresztül!",5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
"Mutual funds are available","Befektetési alapok elérhetőek","A befektetési alapok elérhetők.",4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0
"Best futures brokers","Legjobb brókerek határidős ügyletekre","A legjobb határidős brókerek",4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
"Access to archived threads is only available to registered users. Without this, we can only keep them for you for 1 month.","A korábbi beszélgetésekhez való hozzáférés csak regisztrált felhasználók számára elérhető. Enélkül csak 1 hónapig tudjuk őket megőrizni neked.","Az archívált beszélgetésekhez való hozzáférés csak regisztrált felhasználók számára elérhető. Enélkül legfeljebb 1 hónapig tudjuk őket megőrizni számotokra.",4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0
"across [dataPoints]+ criteria","[dataPoints]+ kritérium mentén","át [dataPoints]+ kritériumokon",4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
"Alternatives to [brokerName]","Alternatívák [brokerName] helyett","Alternatívák a [brokerName] számára",3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
"Available in [countryName]","Elérhető [countryName]","Elérhető [countryName]-ban/ben",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Best forex brokers","Legjobb forex brókerek","Legjobb forex brókerek",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Best stock trading apps","Legjobb részvénykereskedési appok","Legjobb részvénykereskedési alkalmazások",5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
"BrokerChooser Awards [year]","BrokerChooser Díjak [year]","BrokerChooser Díjak [year]",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Broker is not available in [countryTheName]","A bróker nem elérhető [countryTheName]","A bróker nem elérhető [countryTheName]-ben.",5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
"Calculate stock trade commission at various brokers.","Számítsd ki a részvénykereskedési jutalékot különböző brókereknél.","Számítsd ki a részvénykereskedelmi jutalékot különböző brókereknél.",4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
"Check out the best brokers in [country]","Nézd meg a legjobb brókereket [country]","Nézd meg a legjobb brókereket [country] területén!",5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
"Complete Find My Broker questionnaire","Töltsd ki a 'Find My Broker' kérdőívet","Teljesítse a Find My Broker kérdőívet",5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
"FX Fee Calculator","FX Díjkalkulátor","FX Díjszámoló",4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
"Scam brokers to avoid","Kerülendő csaló brókerek","Csaló brókerek, akiket érdemes elkerülni",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"[Broker name] [param name] fees are about half of the industry average.","[Broker name] [param name] díjai körülbelül a piaci átlag felét teszik ki.","[Broker name] [param name] díjai körülbelül a szektor átlagának felét teszik ki.",4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
"[firstBrokerName] vs [secondBrokerName] compared","[firstBrokerName] vs [secondBrokerName] összehasonlítva","[firstBrokerName] vs [secondBrokerName] összehasonlítva",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"[number] available broker in [countryName]","[number] elérhető bróker [countryName] területén","[number] elérhető bróker [countryName]-ben",4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
"[number] people picked this broker at BrokerChooser in the last 6 months","[number] ember választotta ezt a brókert a BrokerChooser-nél az elmúlt 6 hónapban","[number] ember választotta ezt a brókert a BrokerChooser-en az elmúlt 6 hónapban",4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0
"[param name] fees are calculated as follows: [param description]","[param name] díjai a következőképpen vannak kiszámítva: [param description]","[param name] díjak a következőképpen kerülnek kiszámításra: [param description]",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"[popularity] people chose this broker","[popularity] ember választotta ezt a brókert","[popularity] ember választotta ezt a brókert",4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
